longitude,latitude,total_rooms,total_bedrooms,population,households,median_house_value,median_income_log,ocean_ordinal,age_ordinal,rooms_per_household,bedrooms_per_room,population_per_household,income_per_person
-121.57,39.8,790.0,137.0,365.0,152.0,115200.0,1.1603970216090598,0,1,5.2,0.1734,2.4,0.913
-122.48,37.72,2403.0,638.0,1281.0,603.0,112500.0,1.4426983237664293,2,2,3.99,0.2655,2.12,1.5246
-118.2,33.82,1758.0,347.0,954.0,312.0,198900.0,1.8342760271643783,2,2,5.63,0.1974,3.06,1.7192
-121.37,38.68,3757.0,646.0,2022.0,611.0,88200.0,1.5135655746485823,0,1,6.15,0.1719,3.31,1.0704
-117.22,32.83,3958.0,727.0,1924.0,728.0,190200.0,1.8657067141801378,2,1,5.44,0.1837,2.64,2.0684
-122.07,37.39,1465.0,342.0,646.0,345.0,289300.0,1.7425692250372833,3,1,4.25,0.2334,1.87,2.5198
-121.99,37.3,4863.0,901.0,2110.0,868.0,342000.0,1.8161756208423847,1,1,5.6,0.1853,2.43,2.1186
-118.51,34.23,3324.0,448.0,1190.0,423.0,477200.0,2.113504746955537,1,2,7.86,0.1348,2.81,2.5898
-118.3,34.02,2190.0,626.0,1768.0,528.0,103800.0,0.8085273316000183,1,1,4.15,0.2858,3.35,0.3715
-117.99,33.77,1312.0,267.0,922.0,255.0,202400.0,1.4327484654917748,1,1,5.15,0.2035,3.62,0.8813
-122.49,37.75,2044.0,393.0,979.0,378.0,319100.0,1.5934101513569032,2,2,5.41,0.1923,2.59,1.5137
-117.5,34.0,1929.0,317.0,1237.0,316.0,128500.0,1.687564940210198,0,0,6.1,0.1643,3.91,1.1269
-117.24,34.04,4289.0,682.0,1981.0,705.0,165100.0,1.8463423469983467,0,0,6.08,0.159,2.81,1.8991
-117.88,33.89,959.0,176.0,353.0,185.0,173300.0,1.7047480922384253,1,0,5.18,0.1835,1.91,2.356
-121.3,38.04,2668.0,447.0,1713.0,444.0,117600.0,1.6125530553342458,0,0,6.01,0.1675,3.86,1.0403
-118.32,33.91,940.0,197.0,640.0,215.0,181300.0,1.6486586255873816,1,1,4.37,0.2096,2.98,1.4094
-121.07,37.71,223.0,37.0,92.0,37.0,212500.0,1.4759065198095778,0,2,6.03,0.1659,2.49,1.3554
-121.07,38.66,1831.0,274.0,813.0,269.0,173400.0,1.7297776768721738,0,1,6.81,0.1496,3.02,1.5362
-120.27,37.11,1277.0,234.0,674.0,238.0,75900.0,1.3000281609624822,0,0,5.37,0.1832,2.83,0.9433
-118.32,33.89,1300.0,252.0,695.0,249.0,220600.0,1.8191962805381743,1,2,5.22,0.1938,2.79,1.8519
-118.33,34.04,2545.0,401.0,1004.0,372.0,420000.0,1.534132300318935,1,2,6.84,0.1576,2.7,1.3471
-118.58,34.21,2642.0,696.0,1649.0,633.0,217700.0,1.3909584672467674,1,1,4.17,0.2634,2.61,1.1566
-117.98,33.69,2437.0,438.0,986.0,422.0,247200.0,1.9038522720992601,1,0,5.77,0.1797,2.34,2.4409
-117.65,34.07,2501.0,651.0,1182.0,591.0,113200.0,0.8946175561926608,0,1,4.23,0.2603,2.0,0.7232
-118.01,34.09,1613.0,361.0,1283.0,404.0,181700.0,1.433750302276186,0,1,3.99,0.2238,3.18,1.0045
-121.2,38.68,2200.0,422.0,938.0,369.0,143800.0,1.5017636109260046,0,0,5.96,0.1918,2.54,1.3739
-120.39,34.52,2162.0,395.0,1010.0,332.0,239300.0,1.2716407985504716,2,2,6.51,0.1827,3.04,0.8443
-122.44,37.76,1968.0,472.0,784.0,430.0,370000.0,1.4748087746506295,3,2,4.58,0.2398,1.82,1.8518
-121.08,39.02,1839.0,275.0,752.0,270.0,209600.0,1.649254601804424,0,0,6.81,0.1495,2.79,1.5065
-122.16,37.74,1534.0,300.0,826.0,295.0,109400.0,1.617743326797187,3,2,5.2,0.1956,2.8,1.4435
-119.7,34.36,1604.0,334.0,904.0,337.0,336400.0,1.747650829601992,2,1,4.76,0.2082,2.68,1.7691
-119.73,36.52,1741.0,331.0,1466.0,289.0,94200.0,1.27873698969609,0,1,6.02,0.1901,5.07,0.5113
-122.21,37.78,1702.0,460.0,1227.0,407.0,126800.0,1.000190606490346,3,2,4.18,0.2703,3.01,0.571
-118.25,34.01,1301.0,403.0,1952.0,377.0,100800.0,1.1463225048241859,1,1,3.45,0.3098,5.18,0.4144
-122.39,41.41,910.0,199.0,370.0,169.0,80100.0,1.0097082125621029,0,1,5.38,0.2187,2.19,0.7967
-119.59,36.64,823.0,171.0,798.0,200.0,113800.0,1.399235265252691,0,1,4.12,0.2078,3.99,0.7649
-119.8,36.78,1818.0,374.0,737.0,338.0,73000.0,1.1821565510450398,0,2,5.38,0.2057,2.18,1.0373
-118.15,34.11,1746.0,330.0,704.0,306.0,364800.0,1.5664260218408095,1,2,5.71,0.189,2.3,1.6476
-117.08,34.96,1777.0,307.0,721.0,259.0,79800.0,1.5334851628012043,0,1,6.86,0.1728,2.78,1.3073
-117.91,33.83,504.0,113.0,375.0,109.0,160600.0,1.539165651448747,1,2,4.62,0.2242,3.44,1.0642
-117.18,34.48,3561.0,691.0,2156.0,659.0,86900.0,1.3291418296155821,0,0,5.4,0.194,3.27,0.8495
-118.47,34.3,2495.0,551.0,2314.0,567.0,192200.0,1.5419296526513395,1,0,4.4,0.2208,4.08,0.9004
-117.79,33.68,1633.0,295.0,928.0,297.0,265900.0,1.9148321934844519,1,0,5.5,0.1806,3.12,1.8544
-122.42,37.77,1925.0,568.0,867.0,515.0,450000.0,1.3555773884578302,3,2,3.74,0.2951,1.68,1.7137
-119.0,35.37,303.0,78.0,216.0,80.0,55500.0,1.1697539609392529,0,2,3.79,0.2574,2.7,0.8227
-121.35,38.65,2498.0,546.0,1185.0,506.0,107900.0,1.4408535666092386,0,1,4.94,0.2186,2.34,1.3779
-121.97,37.54,2312.0,496.0,1344.0,467.0,203200.0,1.7428317956046313,1,1,4.95,0.2145,2.88,1.6366
-116.9,33.93,3183.0,738.0,1820.0,647.0,71800.0,1.173132080774258,0,1,4.92,0.2319,2.81,0.7943
-117.68,33.49,3084.0,724.0,2557.0,690.0,106300.0,1.344351947497839,1,0,4.47,0.2348,3.71,0.7643
-122.5,37.75,2373.0,481.0,1247.0,454.0,283200.0,1.6289463788221432,2,2,5.23,0.2027,2.75,1.4904
-122.48,37.71,1048.0,150.0,455.0,152.0,417600.0,1.9640026314134733,2,1,6.89,0.1431,2.99,2.0494
-122.34,40.57,1610.0,307.0,748.0,307.0,82800.0,1.2972172155351653,0,1,5.24,0.1907,2.44,1.0898
-120.62,37.37,2608.0,428.0,1530.0,435.0,102100.0,1.6030173446311777,0,0,6.0,0.1641,3.52,1.1273
-118.24,33.96,1338.0,366.0,1765.0,388.0,109900.0,1.0216592474999815,1,2,3.45,0.2735,4.55,0.3907
-121.13,37.47,1995.0,448.0,1559.0,443.0,92700.0,1.1579183945655174,0,2,4.5,0.2246,3.52,0.6203
-121.42,36.86,440.0,106.0,389.0,94.0,225000.0,1.3034017630303247,0,2,4.68,0.2409,4.14,0.6478
-122.03,37.99,3103.0,537.0,1614.0,566.0,169300.0,1.7753251627646303,3,1,5.48,0.1731,2.85,1.7201
-118.7,34.28,3536.0,646.0,1837.0,580.0,238300.0,1.7040933324754823,1,1,6.1,0.1827,3.17,1.4184
-118.51,34.29,1287.0,194.0,525.0,187.0,319300.0,2.003788145203643,1,1,6.88,0.1507,2.81,2.2837
-117.07,32.75,3464.0,749.0,1687.0,645.0,119100.0,1.4592194911344472,2,0,5.37,0.2162,2.62,1.2605
-122.55,38.42,2220.0,411.0,894.0,365.0,211700.0,1.6656480990709206,1,1,6.08,0.1851,2.45,1.7507
-117.88,33.83,3522.0,543.0,1706.0,524.0,241200.0,2.01069417576821,1,1,6.72,0.1542,3.26,1.9842
-118.35,34.09,2234.0,689.0,1334.0,662.0,236100.0,1.2653688931910103,1,1,3.37,0.3084,2.02,1.2596
-122.03,37.03,4650.0,733.0,2014.0,704.0,322000.0,1.8905937351703197,2,1,6.61,0.1576,2.86,1.9662
-122.09,37.71,2663.0,387.0,1086.0,367.0,266400.0,1.816419560964426,3,1,7.26,0.1453,2.96,1.7398
-120.02,38.92,1194.0,246.0,414.0,151.0,101900.0,1.4444689251709626,0,1,7.91,0.206,2.74,1.1823
-117.06,32.72,2669.0,514.0,1626.0,499.0,116900.0,1.4332495093435929,2,1,5.35,0.1926,3.26,0.9792
-118.17,33.77,2151.0,643.0,1047.0,579.0,218800.0,1.4146145324971775,2,2,3.72,0.2989,1.81,1.7209
-122.37,37.95,1298.0,363.0,716.0,268.0,76400.0,0.6829453180753486,3,1,4.84,0.2797,2.67,0.3669
-120.77,37.01,1689.0,378.0,1057.0,267.0,156300.0,1.4170660197866443,0,1,6.33,0.2238,3.96,0.7891
-122.02,37.94,3516.0,661.0,1465.0,623.0,213100.0,1.659541499400346,3,1,5.64,0.188,2.35,1.8114
-115.41,32.99,1141.0,220.0,684.0,194.0,107800.0,1.4824678045685482,0,1,5.88,0.1928,3.53,0.9642
-116.51,33.84,980.0,193.0,454.0,185.0,100000.0,1.623912646188412,0,0,5.3,0.1969,2.45,1.6624
-122.19,39.92,2563.0,658.0,1363.0,611.0,54200.0,0.7045815581856084,0,1,4.19,0.2567,2.23,0.4587
-117.92,34.05,2241.0,419.0,1743.0,448.0,161900.0,1.7331941838553477,1,2,5.0,0.187,3.89,1.1976
-121.47,38.5,1895.0,424.0,620.0,417.0,137500.0,1.000190606490346,0,0,4.54,0.2237,1.49,1.1536
-121.93,37.72,2806.0,459.0,1453.0,444.0,213800.0,1.776764267720564,1,1,6.32,0.1636,3.27,1.5017
-121.84,36.61,2876.0,802.0,2487.0,795.0,112800.0,1.1633695358833882,1,1,3.62,0.2789,3.13,0.7031
-118.43,33.96,1104.0,216.0,415.0,163.0,422000.0,1.9738726709842729,1,2,6.77,0.1957,2.55,2.4308
-122.03,37.99,1755.0,327.0,882.0,350.0,166600.0,1.7209792871670078,3,2,5.01,0.1863,2.52,1.8214
-118.03,34.15,1694.0,283.0,674.0,267.0,486800.0,1.644747139536335,0,2,6.34,0.1671,2.52,1.6586
-119.67,36.65,2512.0,449.0,1464.0,450.0,92300.0,1.5935320827503237,0,1,5.58,0.1787,3.25,1.2065
-122.82,38.38,2565.0,479.0,1227.0,467.0,259900.0,1.7071452168381467,1,1,5.49,0.1867,2.63,1.716
-117.99,33.74,4065.0,741.0,1960.0,739.0,240000.0,1.7058384067204155,1,1,5.5,0.1823,2.65,1.7004
-117.93,33.67,3512.0,472.0,1391.0,481.0,336500.0,2.2082854024734146,1,1,7.3,0.1344,2.89,2.8028
-121.1,37.8,1853.0,331.0,958.0,340.0,149000.0,1.4719673428580404,0,1,5.45,0.1786,2.82,1.1907
-121.21,37.8,1862.0,429.0,971.0,389.0,99200.0,1.282404985027628,0,1,4.79,0.2304,2.5,1.0421
-121.73,38.55,1717.0,393.0,1224.0,387.0,130800.0,1.3328144673390532,0,1,4.44,0.2289,3.16,0.8834
-117.94,34.1,1239.0,254.0,929.0,244.0,153400.0,1.4730452875285456,1,1,5.08,0.205,3.81,0.8825
-118.43,34.23,2049.0,390.0,1286.0,385.0,181500.0,1.6943671232194055,1,1,5.32,0.1903,3.34,1.3303
-119.88,36.83,4055.0,735.0,1730.0,654.0,96500.0,1.6511938706744276,0,0,6.2,0.1813,2.65,1.5899
-117.26,34.48,4632.0,753.0,1851.0,694.0,163100.0,1.6473693332686565,0,0,6.67,0.1626,2.67,1.5705
-115.55,32.79,565.0,162.0,692.0,141.0,53600.0,0.7922229887506329,0,1,4.01,0.2867,4.91,0.2461
-119.02,36.05,2078.0,431.0,1336.0,456.0,65200.0,1.1694434694287013,0,1,4.56,0.2074,2.93,0.7577
-117.4,33.76,1954.0,330.0,973.0,321.0,249100.0,1.7024727784012896,0,0,6.09,0.1689,3.03,1.481
-118.37,34.02,1944.0,458.0,981.0,377.0,193200.0,1.285202499558617,1,2,5.16,0.2356,2.6,1.0059
-122.02,36.98,607.0,155.0,226.0,136.0,166700.0,1.0668807945066123,2,1,4.46,0.2554,1.66,1.1484
-120.95,37.65,136.0,20.0,72.0,22.0,225000.0,1.1718317709935206,0,2,6.18,0.1471,3.27,0.6813
-120.97,37.67,1648.0,293.0,792.0,294.0,121500.0,1.2237754316221157,0,1,5.61,0.1778,2.69,0.8922
-122.81,38.54,2289.0,611.0,919.0,540.0,139300.0,0.7679299250036309,1,0,4.24,0.2669,1.7,0.6796
-122.0,36.98,1636.0,324.0,792.0,325.0,239200.0,1.5164889427777173,2,2,5.03,0.198,2.44,1.4575
-122.95,38.73,1548.0,328.0,863.0,287.0,151300.0,1.3810807940670031,1,2,5.39,0.2119,3.01,0.9898
-121.28,37.91,820.0,179.0,576.0,155.0,65900.0,0.9895411936137477,0,1,5.29,0.2183,3.72,0.4543
-118.35,33.89,1769.0,440.0,1371.0,414.0,232700.0,1.4069054850240004,1,1,4.27,0.2487,3.31,0.9315
-118.48,34.02,1585.0,542.0,1019.0,487.0,375000.0,1.3102768746959748,1,1,3.25,0.342,2.09,1.2953
-122.68,38.76,994.0,226.0,302.0,117.0,67900.0,1.1977031913123406,0,1,8.5,0.2274,2.58,0.8963
-118.4,34.14,1695.0,281.0,595.0,264.0,399300.0,1.9555492575092739,1,2,6.42,0.1658,2.25,2.6968
-117.67,34.02,3042.0,524.0,1516.0,475.0,178500.0,1.7733578600475028,0,0,6.4,0.1723,3.19,1.5331
-117.92,33.79,1785.0,288.0,1033.0,297.0,190500.0,1.718094988461078,1,1,6.01,0.1613,3.48,1.3143
-117.16,32.74,2335.0,604.0,982.0,590.0,261500.0,1.433201801696048,2,1,3.96,0.2587,1.66,1.923
-120.0,38.92,1106.0,207.0,466.0,180.0,126600.0,1.4654520619057188,0,0,6.14,0.1872,2.59,1.2855
-117.98,33.76,1880.0,405.0,967.0,418.0,192500.0,1.6964409560556744,1,1,4.5,0.2154,2.31,1.9284
-119.71,34.42,1560.0,436.0,1041.0,411.0,246900.0,1.3673663512343717,1,2,3.8,0.2795,2.53,1.1561
-121.52,39.5,1462.0,241.0,569.0,231.0,82600.0,1.4547237405416713,0,1,6.33,0.1648,2.46,1.3347
-122.49,37.75,2140.0,425.0,1105.0,401.0,308500.0,1.5487107853641815,2,2,5.34,0.1986,2.76,1.3425
-117.96,33.76,1328.0,290.0,1012.0,306.0,189500.0,1.664172279534152,1,1,4.34,0.2184,3.31,1.2934
-119.79,36.78,2227.0,462.0,1129.0,415.0,59100.0,1.1996635327378375,0,2,5.37,0.2075,2.72,0.8526
-118.38,34.04,3005.0,771.0,2054.0,758.0,309100.0,1.1130738806091136,1,2,3.96,0.2566,2.71,0.7541
-119.8,36.02,156.0,39.0,171.0,37.0,225000.0,1.3987168811184478,0,1,4.22,0.25,4.62,0.6602
-121.26,38.11,2058.0,366.0,933.0,316.0,150900.0,1.6572371095673735,0,0,6.51,0.1778,2.95,1.4389
-118.44,34.19,1599.0,459.0,1143.0,438.0,199100.0,1.2407771388479842,1,1,3.65,0.2871,2.61,0.9419
-118.43,34.03,1552.0,388.0,867.0,352.0,346700.0,1.5361572902396858,1,2,4.41,0.25,2.46,1.4824
-121.69,37.14,4077.0,590.0,1618.0,540.0,386200.0,1.839771552993646,1,0,7.55,0.1447,3.0,1.765
-118.77,34.28,1416.0,251.0,1024.0,268.0,185200.0,1.809501150704212,1,1,5.28,0.1773,3.82,1.337
-118.39,33.99,2612.0,418.0,1030.0,402.0,369200.0,2.0285429062462996,1,1,6.5,0.16,2.56,2.5793
-118.36,33.82,1784.0,311.0,901.0,293.0,339000.0,1.977505710645064,1,2,6.09,0.1743,3.08,2.021
-121.27,38.31,1144.0,202.0,626.0,178.0,151600.0,1.688378474506708,0,0,6.43,0.1766,3.52,1.253
-121.93,37.27,3428.0,753.0,1753.0,729.0,281000.0,1.6298873893015098,1,1,4.7,0.2197,2.4,1.7097
-116.15,33.69,197.0,54.0,331.0,70.0,112500.0,1.3682831283180388,0,1,2.81,0.2741,4.73,0.6192
-117.73,34.01,2340.0,392.0,1213.0,388.0,213000.0,1.634130525024472,0,2,6.03,0.1675,3.13,1.3179
-117.88,33.71,1739.0,359.0,1914.0,369.0,185200.0,1.516247484367755,1,1,4.71,0.2064,5.19,0.685
-122.05,39.34,1064.0,230.0,494.0,175.0,61500.0,1.3545456628053103,0,2,6.08,0.2162,2.82,1.0195
-121.45,38.37,1441.0,261.0,629.0,249.0,137500.0,1.6959641717731884,0,1,5.79,0.1811,2.53,1.7596
-122.01,37.58,4313.0,717.0,2629.0,721.0,231800.0,1.9107121909053164,3,0,5.98,0.1662,3.65,1.5775
-118.29,33.98,2261.0,555.0,1348.0,455.0,97200.0,1.069011818891819,1,2,4.97,0.2455,2.96,0.6461
-118.0,33.81,2642.0,640.0,1702.0,588.0,174700.0,1.5100152881096494,1,1,4.49,0.2422,2.89,1.2203
-122.47,37.69,2447.0,720.0,2104.0,657.0,239100.0,1.4926793518239048,2,1,3.72,0.2942,3.2,1.0778
-114.49,33.97,2809.0,635.0,83.0,45.0,87500.0,0.9614170494902649,0,0,62.42,0.2261,1.84,0.8779
-118.09,33.93,1950.0,356.0,1183.0,338.0,175300.0,1.6380059327511578,1,2,5.77,0.1826,3.5,1.1843
-122.19,39.74,4179.0,814.0,2111.0,809.0,65600.0,1.2091692792327535,0,2,5.17,0.1948,2.61,0.9007
-122.26,37.85,2202.0,434.0,910.0,402.0,281500.0,1.4358223482690877,3,2,5.48,0.1971,2.26,1.4173
-121.62,36.69,512.0,144.0,767.0,149.0,72900.0,1.183780301037988,1,0,3.44,0.2812,5.15,0.4401
-118.35,34.17,2572.0,613.0,1280.0,570.0,232000.0,1.5169497469989384,1,2,4.51,0.2383,2.25,1.5815
-117.93,34.04,1336.0,239.0,905.0,253.0,178100.0,1.7724747078161878,1,1,5.28,0.1789,3.58,1.3646
-117.1,33.15,3159.0,685.0,1398.0,581.0,161100.0,1.4223128371958234,1,0,5.44,0.2168,2.41,1.3057
-117.97,33.85,2513.0,476.0,1611.0,472.0,182900.0,1.6106571688388298,1,1,5.32,0.1894,3.41,1.1748
-117.23,32.73,2914.0,683.0,1562.0,638.0,240200.0,1.2601357228247811,2,1,4.57,0.2344,2.45,1.031
-122.22,37.47,367.0,113.0,398.0,109.0,166700.0,1.252762968495368,2,1,3.37,0.3079,3.65,0.6849
-118.24,33.94,1215.0,273.0,1211.0,265.0,95500.0,1.0010729594887686,1,2,4.58,0.2247,4.57,0.3766
-122.48,37.93,2947.0,802.0,1385.0,743.0,318000.0,1.5418226630185328,3,0,3.97,0.2721,1.86,1.9748
-117.26,33.84,1159.0,209.0,523.0,159.0,123200.0,1.31458351356589,0,0,7.29,0.1803,3.29,0.8277
-117.96,33.67,5143.0,652.0,2209.0,637.0,382100.0,2.0816017068421626,1,0,8.07,0.1268,3.47,2.0223
-122.39,37.74,4110.0,846.0,2147.0,674.0,201000.0,1.2723975144397779,3,2,6.1,0.2058,3.19,0.8055
-114.94,34.55,350.0,95.0,119.0,58.0,50000.0,0.965080896043587,0,1,6.03,0.2714,2.05,0.7927
-118.16,34.16,1276.0,226.0,545.0,209.0,230700.0,1.6393461681727652,1,2,6.11,0.1771,2.61,1.5907
-120.65,35.29,1940.0,315.0,850.0,298.0,249600.0,1.4307417758551857,2,2,6.51,0.1624,2.85,1.1164
-121.03,37.63,2881.0,584.0,1490.0,570.0,120000.0,1.396195185797153,0,0,5.05,0.2027,2.61,1.1647
-121.26,37.99,429.0,102.0,179.0,90.0,87500.0,1.2039628042759356,0,1,4.77,0.2378,1.99,1.1725
-122.29,37.82,158.0,43.0,94.0,57.0,60000.0,1.270462545594769,3,0,2.77,0.2722,1.65,1.553
-122.19,37.84,1617.0,210.0,533.0,194.0,392600.0,2.5338317254913827,3,0,8.34,0.1299,2.75,4.2188
-118.45,34.03,1240.0,320.0,711.0,304.0,318100.0,1.4697619663611536,1,2,4.08,0.2581,2.34,1.4309
-120.4,37.92,1022.0,194.0,517.0,198.0,99400.0,1.5314763709643886,0,1,5.16,0.1898,2.61,1.3889
-119.83,36.77,2867.0,615.0,1705.0,570.0,68100.0,1.2321520145912437,0,1,5.03,0.2145,2.99,0.8122
-122.56,38.01,2144.0,400.0,840.0,398.0,239500.0,1.7227665977411035,3,1,5.39,0.1866,2.11,2.1801
-118.03,33.9,1143.0,193.0,826.0,188.0,171100.0,1.843466011550248,1,2,6.08,0.1689,4.39,1.2115
-119.85,36.97,2872.0,477.0,1607.0,481.0,102400.0,1.7001922757025645,0,0,5.97,0.1661,3.34,1.3398
-120.87,37.62,455.0,70.0,220.0,69.0,142500.0,1.7742402330091172,0,1,6.59,0.1538,3.19,1.5347
-122.01,37.18,3852.0,652.0,1534.0,567.0,318700.0,1.925649130999855,1,2,6.79,0.1693,2.71,2.1622
-117.2,32.79,2079.0,394.0,746.0,383.0,300000.0,1.8076000094471876,2,0,5.43,0.1895,1.95,2.6132
-117.97,33.74,2814.0,539.0,1439.0,493.0,262000.0,1.5258388885577867,1,0,5.71,0.1915,2.92,1.2325
-118.21,33.94,1807.0,442.0,1628.0,443.0,156100.0,1.3454723665996355,1,2,4.08,0.2446,3.67,0.7738
-118.13,34.04,2205.0,451.0,1392.0,423.0,211400.0,1.6798218159871903,1,2,5.21,0.2045,3.29,1.3266
-116.42,33.51,186.0,48.0,102.0,39.0,103100.0,1.270462545594769,0,1,4.77,0.2581,2.62,0.9781
-118.25,33.79,1730.0,460.0,1724.0,424.0,150400.0,1.3166226878705714,2,2,4.08,0.2659,4.07,0.671
-120.46,34.64,562.0,164.0,504.0,147.0,118800.0,1.1039646060947188,2,0,3.82,0.2918,3.43,0.5878
-123.15,39.31,1026.0,205.0,424.0,152.0,154200.0,1.3566853076157728,0,1,6.75,0.1998,2.79,1.0334
-121.8,37.27,3912.0,737.0,2693.0,746.0,221500.0,1.8045440635874743,1,0,5.24,0.1884,3.61,1.4064
-121.41,36.85,1708.0,394.0,1474.0,372.0,145900.0,1.3568398034446927,0,0,4.59,0.2307,3.96,0.7283
-118.03,33.91,2323.0,406.0,1741.0,398.0,164100.0,1.6570273560270135,1,1,5.84,0.1748,4.37,0.9711
-119.71,34.42,1643.0,499.0,1253.0,499.0,267000.0,1.4246252554248544,1,1,3.29,0.3037,2.51,1.2575
-118.99,35.39,2805.0,573.0,1325.0,522.0,70100.0,1.2551315896675506,0,2,5.37,0.2043,2.54,0.9875
-118.28,34.26,1079.0,207.0,486.0,167.0,213000.0,1.7889722552200193,1,1,6.46,0.1918,2.91,1.7125
-118.2,33.81,1388.0,254.0,742.0,241.0,212100.0,1.7309119058953404,2,2,5.76,0.183,3.08,1.5084
-117.01,32.7,2321.0,398.0,1434.0,386.0,120800.0,1.5116266074221785,2,1,6.01,0.1715,3.72,0.95
-118.36,33.88,2845.0,710.0,1611.0,628.0,267400.0,1.436250511929292,1,1,4.53,0.2496,2.57,1.247
-117.1,32.7,2002.0,488.0,1505.0,464.0,86300.0,0.9185681366181956,2,2,4.31,0.2438,3.24,0.4647
-117.03,32.69,901.0,163.0,698.0,167.0,156100.0,1.734271589355427,2,0,5.4,0.1809,4.18,1.116
-118.15,34.04,818.0,195.0,664.0,198.0,203300.0,1.1613992767668744,1,1,4.13,0.2384,3.35,0.655
-118.32,34.19,1335.0,249.0,485.0,240.0,352100.0,1.6434721219770043,1,2,5.56,0.1865,2.02,2.0659
-121.82,37.35,2298.0,575.0,2409.0,569.0,182400.0,1.4931063229199542,1,1,4.04,0.2502,4.23,0.8158
-117.65,33.57,1998.0,500.0,1185.0,446.0,195600.0,1.6778812996488832,1,0,4.48,0.2503,2.66,1.6369
-121.79,39.48,1105.0,180.0,408.0,166.0,82100.0,1.479989601247184,0,2,6.66,0.1629,2.46,1.3792
-118.43,34.25,2433.0,553.0,2318.0,532.0,159300.0,1.534369479185254,1,1,4.57,0.2273,4.36,0.8345
-118.14,33.77,2812.0,621.0,1171.0,566.0,342900.0,1.5841201044498106,2,2,4.97,0.2208,2.07,1.872
-122.41,37.76,492.0,139.0,316.0,168.0,225000.0,1.4076888579740474,3,2,2.93,0.2825,1.88,1.6418
-118.1,33.93,1474.0,325.0,1205.0,335.0,166800.0,1.4206233214434814,1,1,4.4,0.2205,3.6,0.8721
-117.95,33.69,1417.0,264.0,817.0,261.0,230400.0,1.7707060600302227,1,1,5.43,0.1863,3.13,1.5575
-114.65,33.6,1678.0,322.0,666.0,256.0,94900.0,1.3775815142674586,0,1,6.55,0.1919,2.6,1.1405
-117.07,32.75,3073.0,851.0,2000.0,782.0,144700.0,1.2185855166937816,2,0,3.93,0.2769,2.56,0.9306
-121.92,36.62,1001.0,191.0,425.0,184.0,241700.0,1.5605417426462713,2,2,5.44,0.1908,2.31,1.6283
-117.11,32.79,2574.0,771.0,1129.0,721.0,96900.0,1.4781668205470042,2,0,3.57,0.2995,1.57,2.156
